rating_gap,outcome_type
54,Expected (Higher Rated Won)
83,Expected (Higher Rated Won)
228,Upset (Lower Rated Won)
109,Upset (Lower Rated Won)
27,Expected (Higher Rated Won)
381,Expected (Higher Rated Won)
48,Upset (Lower Rated Won)
256,Expected (Higher Rated Won)
42,Expected (Higher Rated Won)
157,Upset (Lower Rated Won)
141,Expected (Higher Rated Won)
526,Expected (Higher Rated Won)
208,Upset (Lower Rated Won)
116,Expected (Higher Rated Won)
131,Upset (Lower Rated Won)
28,Upset (Lower Rated Won)
294,Expected (Higher Rated Won)
129,Expected (Higher Rated Won)
10,Expected (Higher Rated Won)
70,Expected (Higher Rated Won)
50,Expected (Higher Rated Won)
17,Upset (Lower Rated Won)
139,Expected (Higher Rated Won)
121,Expected (Higher Rated Won)
53,Expected (Higher Rated Won)
143,Expected (Higher Rated Won)
331,Expected (Higher Rated Won)
401,Expected (Higher Rated Won)
271,Upset (Lower Rated Won)
56,Expected (Higher Rated Won)
0,Expected (Higher Rated Won)
14,Upset (Lower Rated Won)
203,Expected (Higher Rated Won)
131,Upset (Lower Rated Won)
222,Expected (Higher Rated Won)
338,Expected (Higher Rated Won)
71,Expected (Higher Rated Won)
131,Expected (Higher Rated Won)
5,Expected (Higher Rated Won)
29,Upset (Lower Rated Won)
259,Expected (Higher Rated Won)
9,Upset (Lower Rated Won)
118,Upset (Lower Rated Won)
373,Upset (Lower Rated Won)
35,Upset (Lower Rated Won)
66,Upset (Lower Rated Won)
11,Upset (Lower Rated Won)
102,Upset (Lower Rated Won)
62,Upset (Lower Rated Won)
116,Upset (Lower Rated Won)
0,Expected (Higher Rated Won)
234,Upset (Lower Rated Won)
330,Upset (Lower Rated Won)
781,Expected (Higher Rated Won)
25,Upset (Lower Rated Won)
294,Expected (Higher Rated Won)
149,Upset (Lower Rated Won)
70,Expected (Higher Rated Won)
121,Expected (Higher Rated Won)
125,Expected (Higher Rated Won)
39,Upset (Lower Rated Won)
151,Expected (Higher Rated Won)
144,Expected (Higher Rated Won)
32,Upset (Lower Rated Won)
38,Expected (Higher Rated Won)
136,Expected (Higher Rated Won)
61,Expected (Higher Rated Won)
73,Upset (Lower Rated Won)
43,Expected (Higher Rated Won)
5,Upset (Lower Rated Won)
102,Upset (Lower Rated Won)
34,Expected (Higher Rated Won)
239,Upset (Lower Rated Won)
11,Expected (Higher Rated Won)
0,Expected (Higher Rated Won)
325,Expected (Higher Rated Won)
91,Expected (Higher Rated Won)
9,Expected (Higher Rated Won)
252,Expected (Higher Rated Won)
398,Expected (Higher Rated Won)
37,Upset (Lower Rated Won)
212,Upset (Lower Rated Won)
37,Upset (Lower Rated Won)
0,Expected (Higher Rated Won)
115,Expected (Higher Rated Won)
3,Expected (Higher Rated Won)
0,Expected (Higher Rated Won)
30,Upset (Lower Rated Won)
67,Upset (Lower Rated Won)
17,Upset (Lower Rated Won)
79,Expected (Higher Rated Won)
48,Expected (Higher Rated Won)
39,Upset (Lower Rated Won)
20,Upset (Lower Rated Won)
20,Upset (Lower Rated Won)
3,Upset (Lower Rated Won)
48,Upset (Lower Rated Won)
29,Expected (Higher Rated Won)
45,Expected (Higher Rated Won)
9,Expected (Higher Rated Won)
3,Upset (Lower Rated Won)
42,Upset (Lower Rated Won)
40,Upset (Lower Rated Won)
5,Upset (Lower Rated Won)
36,Expected (Higher Rated Won)
99,Expected (Higher Rated Won)
31,Expected (Higher Rated Won)
17,Upset (Lower Rated Won)
25,Upset (Lower Rated Won)
30,Expected (Higher Rated Won)
27,Expected (Higher Rated Won)
1,Upset (Lower Rated Won)
1,Expected (Higher Rated Won)
1,Expected (Higher Rated Won)
72,Expected (Higher Rated Won)
68,Upset (Lower Rated Won)
24,Upset (Lower Rated Won)
23,Expected (Higher Rated Won)
7,Upset (Lower Rated Won)
26,Expected (Higher Rated Won)
16,Upset (Lower Rated Won)
20,Upset (Lower Rated Won)
50,Expected (Higher Rated Won)
12,Expected (Higher Rated Won)
12,Upset (Lower Rated Won)
9,Upset (Lower Rated Won)
9,Expected (Higher Rated Won)
337,Expected (Higher Rated Won)
173,Expected (Higher Rated Won)
201,Expected (Higher Rated Won)
56,Expected (Higher Rated Won)
819,Expected (Higher Rated Won)
142,Expected (Higher Rated Won)
517,Expected (Higher Rated Won)
22,Upset (Lower Rated Won)
142,Upset (Lower Rated Won)
195,Expected (Higher Rated Won)
521,Expected (Higher Rated Won)
517,Upset (Lower Rated Won)
211,Upset (Lower Rated Won)
112,Expected (Higher Rated Won)
205,Upset (Lower Rated Won)
69,Expected (Higher Rated Won)
69,Expected (Higher Rated Won)
484,Expected (Higher Rated Won)
166,Expected (Higher Rated Won)
290,Upset (Lower Rated Won)
260,Expected (Higher Rated Won)
376,Upset (Lower Rated Won)
196,Upset (Lower Rated Won)
510,Expected (Higher Rated Won)
2,Upset (Lower Rated Won)
21,Expected (Higher Rated Won)
10,Upset (Lower Rated Won)
142,Expected (Higher Rated Won)
59,Upset (Lower Rated Won)
119,Upset (Lower Rated Won)
566,Expected (Higher Rated Won)
128,Expected (Higher Rated Won)
14,Upset (Lower Rated Won)
17,Expected (Higher Rated Won)
110,Expected (Higher Rated Won)
49,Expected (Higher Rated Won)
1,Expected (Higher Rated Won)
81,Upset (Lower Rated Won)
22,Upset (Lower Rated Won)
182,Upset (Lower Rated Won)
60,Upset (Lower Rated Won)
87,Upset (Lower Rated Won)
26,Expected (Higher Rated Won)
50,Upset (Lower Rated Won)
11,Expected (Higher Rated Won)
460,Expected (Higher Rated Won)
17,Upset (Lower Rated Won)
113,Expected (Higher Rated Won)
28,Expected (Higher Rated Won)
49,Upset (Lower Rated Won)
354,Expected (Higher Rated Won)
137,Expected (Higher Rated Won)
101,Expected (Higher Rated Won)
247,Expected (Higher Rated Won)
49,Expected (Higher Rated Won)
25,Expected (Higher Rated Won)
25,Expected (Higher Rated Won)
102,Upset (Lower Rated Won)
101,Expected (Higher Rated Won)
10,Upset (Lower Rated Won)
50,Upset (Lower Rated Won)
50,Upset (Lower Rated Won)
75,Upset (Lower Rated Won)
74,Upset (Lower Rated Won)
155,Upset (Lower Rated Won)
233,Upset (Lower Rated Won)
115,Upset (Lower Rated Won)
57,Expected (Higher Rated Won)
123,Expected (Higher Rated Won)
24,Expected (Higher Rated Won)
321,Upset (Lower Rated Won)
252,Upset (Lower Rated Won)
189,Upset (Lower Rated Won)
25,Upset (Lower Rated Won)
59,Upset (Lower Rated Won)
191,Upset (Lower Rated Won)
201,Expected (Higher Rated Won)
136,Expected (Higher Rated Won)
37,Upset (Lower Rated Won)
5,Expected (Higher Rated Won)
31,Expected (Higher Rated Won)
5,Upset (Lower Rated Won)
50,Upset (Lower Rated Won)
363,Upset (Lower Rated Won)
334,Expected (Higher Rated Won)
27,Expected (Higher Rated Won)
331,Upset (Lower Rated Won)
394,Expected (Higher Rated Won)
133,Expected (Higher Rated Won)
66,Expected (Higher Rated Won)
43,Upset (Lower Rated Won)
14,Expected (Higher Rated Won)
32,Expected (Higher Rated Won)
3,Expected (Higher Rated Won)
6,Expected (Higher Rated Won)
37,Expected (Higher Rated Won)
62,Upset (Lower Rated Won)
139,Expected (Higher Rated Won)
10,Upset (Lower Rated Won)
55,Expected (Higher Rated Won)
25,Upset (Lower Rated Won)
130,Expected (Higher Rated Won)
130,Expected (Higher Rated Won)
130,Expected (Higher Rated Won)
35,Upset (Lower Rated Won)
105,Upset (Lower Rated Won)
105,Upset (Lower Rated Won)
105,Expected (Higher Rated Won)
92,Expected (Higher Rated Won)
84,Upset (Lower Rated Won)
59,Expected (Higher Rated Won)
365,Expected (Higher Rated Won)
2,Upset (Lower Rated Won)
2,Upset (Lower Rated Won)
13,Upset (Lower Rated Won)
125,Upset (Lower Rated Won)
52,Upset (Lower Rated Won)
0,Expected (Higher Rated Won)
2,Upset (Lower Rated Won)
19,Upset (Lower Rated Won)
53,Expected (Higher Rated Won)
17,Upset (Lower Rated Won)
4,Expected (Higher Rated Won)
132,Upset (Lower Rated Won)
163,Upset (Lower Rated Won)
21,Upset (Lower Rated Won)
46,Expected (Higher Rated Won)
8,Upset (Lower Rated Won)
210,Expected (Higher Rated Won)
200,Expected (Higher Rated Won)
30,Expected (Higher Rated Won)
10,Expected (Higher Rated Won)
50,Upset (Lower Rated Won)
69,Expected (Higher Rated Won)
12,Upset (Lower Rated Won)
10,Expected (Higher Rated Won)
5,Upset (Lower Rated Won)
13,Expected (Higher Rated Won)
31,Upset (Lower Rated Won)
20,Upset (Lower Rated Won)
44,Upset (Lower Rated Won)
414,Expected (Higher Rated Won)
20,Upset (Lower Rated Won)
2,Expected (Higher Rated Won)
25,Upset (Lower Rated Won)
17,Upset (Lower Rated Won)
141,Expected (Higher Rated Won)
276,Expected (Higher Rated Won)
111,Upset (Lower Rated Won)
144,Upset (Lower Rated Won)
251,Expected (Higher Rated Won)
80,Expected (Higher Rated Won)
258,Expected (Higher Rated Won)
148,Upset (Lower Rated Won)
68,Upset (Lower Rated Won)
352,Expected (Higher Rated Won)
158,Expected (Higher Rated Won)
67,Expected (Higher Rated Won)
125,Expected (Higher Rated Won)
178,Expected (Higher Rated Won)
253,Expected (Higher Rated Won)
146,Expected (Higher Rated Won)
155,Expected (Higher Rated Won)
233,Expected (Higher Rated Won)
61,Upset (Lower Rated Won)
110,Expected (Higher Rated Won)
104,Expected (Higher Rated Won)
18,Expected (Higher Rated Won)
83,Expected (Higher Rated Won)
180,Upset (Lower Rated Won)
2,Expected (Higher Rated Won)
108,Expected (Higher Rated Won)
23,Expected (Higher Rated Won)
0,Expected (Higher Rated Won)
0,Expected (Higher Rated Won)
71,Upset (Lower Rated Won)
499,Expected (Higher Rated Won)
217,Expected (Higher Rated Won)
290,Expected (Higher Rated Won)
200,Upset (Lower Rated Won)
109,Expected (Higher Rated Won)
93,Expected (Higher Rated Won)
74,Expected (Higher Rated Won)
36,Upset (Lower Rated Won)
775,Expected (Higher Rated Won)
105,Upset (Lower Rated Won)
32,Upset (Lower Rated Won)
80,Expected (Higher Rated Won)
53,Expected (Higher Rated Won)
141,Expected (Higher Rated Won)
112,Upset (Lower Rated Won)
398,Upset (Lower Rated Won)
398,Expected (Higher Rated Won)
398,Expected (Higher Rated Won)
45,Upset (Lower Rated Won)
197,Expected (Higher Rated Won)
0,Expected (Higher Rated Won)
65,Upset (Lower Rated Won)
391,Expected (Higher Rated Won)
162,Expected (Higher Rated Won)
123,Upset (Lower Rated Won)
205,Upset (Lower Rated Won)
470,Upset (Lower Rated Won)
2,Upset (Lower Rated Won)
36,Upset (Lower Rated Won)
21,Expected (Higher Rated Won)
228,Upset (Lower Rated Won)
16,Upset (Lower Rated Won)
296,Expected (Higher Rated Won)
136,Expected (Higher Rated Won)
41,Expected (Higher Rated Won)
20,Upset (Lower Rated Won)
190,Expected (Higher Rated Won)
242,Upset (Lower Rated Won)
265,Expected (Higher Rated Won)
20,Expected (Higher Rated Won)
153,Upset (Lower Rated Won)
262,Expected (Higher Rated Won)
319,Upset (Lower Rated Won)
426,Upset (Lower Rated Won)
75,Upset (Lower Rated Won)
131,Expected (Higher Rated Won)
170,Upset (Lower Rated Won)
56,Upset (Lower Rated Won)
108,Upset (Lower Rated Won)
2,Expected (Higher Rated Won)
423,Expected (Higher Rated Won)
431,Expected (Higher Rated Won)
704,Expected (Higher Rated Won)
214,Upset (Lower Rated Won)
113,Expected (Higher Rated Won)
60,Expected (Higher Rated Won)
1,Expected (Higher Rated Won)
22,Upset (Lower Rated Won)
276,Expected (Higher Rated Won)
110,Upset (Lower Rated Won)
94,Expected (Higher Rated Won)
75,Expected (Higher Rated Won)
68,Upset (Lower Rated Won)
277,Expected (Higher Rated Won)
242,Expected (Higher Rated Won)
174,Expected (Higher Rated Won)
149,Expected (Higher Rated Won)
707,Expected (Higher Rated Won)
21,Expected (Higher Rated Won)
1,Upset (Lower Rated Won)
84,Upset (Lower Rated Won)
110,Upset (Lower Rated Won)
93,Expected (Higher Rated Won)
75,Expected (Higher Rated Won)
55,Expected (Higher Rated Won)
122,Upset (Lower Rated Won)
27,Expected (Higher Rated Won)
4,Expected (Higher Rated Won)
537,Expected (Higher Rated Won)
530,Expected (Higher Rated Won)
522,Expected (Higher Rated Won)
583,Expected (Higher Rated Won)
577,Expected (Higher Rated Won)
185,Expected (Higher Rated Won)
168,Upset (Lower Rated Won)
28,Upset (Lower Rated Won)
7,Expected (Higher Rated Won)
16,Upset (Lower Rated Won)
202,Expected (Higher Rated Won)
240,Expected (Higher Rated Won)
2,Upset (Lower Rated Won)
116,Expected (Higher Rated Won)
292,Expected (Higher Rated Won)
11,Upset (Lower Rated Won)
36,Upset (Lower Rated Won)
61,Upset (Lower Rated Won)
15,Upset (Lower Rated Won)
9,Upset (Lower Rated Won)
34,Upset (Lower Rated Won)
245,Expected (Higher Rated Won)
55,Upset (Lower Rated Won)
128,Expected (Higher Rated Won)
54,Upset (Lower Rated Won)
44,Upset (Lower Rated Won)
131,Expected (Higher Rated Won)
130,Expected (Higher Rated Won)
33,Upset (Lower Rated Won)
131,Upset (Lower Rated Won)
147,Upset (Lower Rated Won)
77,Upset (Lower Rated Won)
30,Expected (Higher Rated Won)
82,Expected (Higher Rated Won)
119,Expected (Higher Rated Won)
515,Expected (Higher Rated Won)
40,Expected (Higher Rated Won)
48,Expected (Higher Rated Won)
5,Upset (Lower Rated Won)
158,Upset (Lower Rated Won)
203,Upset (Lower Rated Won)
63,Expected (Higher Rated Won)
250,Expected (Higher Rated Won)
51,Expected (Higher Rated Won)
32,Expected (Higher Rated Won)
85,Expected (Higher Rated Won)
29,Expected (Higher Rated Won)
59,Upset (Lower Rated Won)
17,Upset (Lower Rated Won)
261,Expected (Higher Rated Won)
9,Upset (Lower Rated Won)
259,Expected (Higher Rated Won)
2,Expected (Higher Rated Won)
168,Expected (Higher Rated Won)
19,Upset (Lower Rated Won)
154,Upset (Lower Rated Won)
113,Upset (Lower Rated Won)
180,Expected (Higher Rated Won)
45,Upset (Lower Rated Won)
268,Expected (Higher Rated Won)
75,Expected (Higher Rated Won)
94,Upset (Lower Rated Won)
99,Expected (Higher Rated Won)
78,Expected (Higher Rated Won)
76,Expected (Higher Rated Won)
105,Expected (Higher Rated Won)
213,Expected (Higher Rated Won)
129,Upset (Lower Rated Won)
183,Expected (Higher Rated Won)
132,Expected (Higher Rated Won)
58,Upset (Lower Rated Won)
172,Expected (Higher Rated Won)
0,Expected (Higher Rated Won)
81,Upset (Lower Rated Won)
77,Upset (Lower Rated Won)
115,Expected (Higher Rated Won)
84,Upset (Lower Rated Won)
91,Expected (Higher Rated Won)
39,Expected (Higher Rated Won)
125,Expected (Higher Rated Won)
42,Expected (Higher Rated Won)
74,Upset (Lower Rated Won)
87,Upset (Lower Rated Won)
219,Upset (Lower Rated Won)
129,Expected (Higher Rated Won)
117,Expected (Higher Rated Won)
101,Expected (Higher Rated Won)
146,Expected (Higher Rated Won)
108,Upset (Lower Rated Won)
72,Upset (Lower Rated Won)
239,Upset (Lower Rated Won)
227,Expected (Higher Rated Won)
36,Upset (Lower Rated Won)
204,Expected (Higher Rated Won)
54,Expected (Higher Rated Won)
54,Expected (Higher Rated Won)
54,Upset (Lower Rated Won)
54,Expected (Higher Rated Won)
140,Expected (Higher Rated Won)
75,Upset (Lower Rated Won)
86,Expected (Higher Rated Won)
69,Upset (Lower Rated Won)
36,Expected (Higher Rated Won)
92,Expected (Higher Rated Won)
323,Expected (Higher Rated Won)
98,Upset (Lower Rated Won)
216,Upset (Lower Rated Won)
330,Expected (Higher Rated Won)
37,Expected (Higher Rated Won)
215,Expected (Higher Rated Won)
369,Expected (Higher Rated Won)
298,Upset (Lower Rated Won)
171,Expected (Higher Rated Won)
692,Upset (Lower Rated Won)
376,Expected (Higher Rated Won)
66,Upset (Lower Rated Won)
423,Upset (Lower Rated Won)
423,Expected (Higher Rated Won)
423,Upset (Lower Rated Won)
423,Expected (Higher Rated Won)
198,Expected (Higher Rated Won)
69,Expected (Higher Rated Won)
69,Upset (Lower Rated Won)
737,Expected (Higher Rated Won)
271,Upset (Lower Rated Won)
271,Expected (Higher Rated Won)
271,Upset (Lower Rated Won)
737,Expected (Higher Rated Won)
17,Upset (Lower Rated Won)
188,Upset (Lower Rated Won)
767,Expected (Higher Rated Won)
19,Upset (Lower Rated Won)
156,Upset (Lower Rated Won)
334,Expected (Higher Rated Won)
334,Expected (Higher Rated Won)
135,Expected (Higher Rated Won)
148,Expected (Higher Rated Won)
60,Upset (Lower Rated Won)
13,Upset (Lower Rated Won)
5,Expected (Higher Rated Won)
116,Upset (Lower Rated Won)
396,Expected (Higher Rated Won)
101,Expected (Higher Rated Won)
42,Upset (Lower Rated Won)
21,Upset (Lower Rated Won)
78,Expected (Higher Rated Won)
5,Expected (Higher Rated Won)
492,Expected (Higher Rated Won)
24,Expected (Higher Rated Won)
206,Upset (Lower Rated Won)
490,Expected (Higher Rated Won)
490,Expected (Higher Rated Won)
427,Upset (Lower Rated Won)
22,Expected (Higher Rated Won)
99,Expected (Higher Rated Won)
36,Upset (Lower Rated Won)
17,Upset (Lower Rated Won)
13,Expected (Higher Rated Won)
506,Expected (Higher Rated Won)
498,Expected (Higher Rated Won)
312,Expected (Higher Rated Won)
447,Expected (Higher Rated Won)
442,Expected (Higher Rated Won)
700,Expected (Higher Rated Won)
385,Expected (Higher Rated Won)
330,Expected (Higher Rated Won)
649,Expected (Higher Rated Won)
443,Expected (Higher Rated Won)
472,Expected (Higher Rated Won)
259,Expected (Higher Rated Won)
140,Expected (Higher Rated Won)
336,Expected (Higher Rated Won)
259,Expected (Higher Rated Won)
362,Expected (Higher Rated Won)
257,Expected (Higher Rated Won)
970,Expected (Higher Rated Won)
335,Expected (Higher Rated Won)
48,Expected (Higher Rated Won)
859,Expected (Higher Rated Won)
439,Expected (Higher Rated Won)
351,Expected (Higher Rated Won)
158,Expected (Higher Rated Won)
151,Upset (Lower Rated Won)
239,Expected (Higher Rated Won)
177,Expected (Higher Rated Won)
235,Expected (Higher Rated Won)
159,Expected (Higher Rated Won)
296,Expected (Higher Rated Won)
104,Expected (Higher Rated Won)
760,Expected (Higher Rated Won)
168,Expected (Higher Rated Won)
582,Expected (Higher Rated Won)
297,Expected (Higher Rated Won)
281,Expected (Higher Rated Won)
262,Expected (Higher Rated Won)
241,Expected (Higher Rated Won)
500,Upset (Lower Rated Won)
399,Expected (Higher Rated Won)
387,Expected (Higher Rated Won)
130,Expected (Higher Rated Won)
12,Expected (Higher Rated Won)
15,Expected (Higher Rated Won)
12,Upset (Lower Rated Won)
118,Expected (Higher Rated Won)
98,Upset (Lower Rated Won)
3,Upset (Lower Rated Won)
12,Upset (Lower Rated Won)
64,Expected (Higher Rated Won)
56,Expected (Higher Rated Won)
599,Expected (Higher Rated Won)
168,Upset (Lower Rated Won)
159,Upset (Lower Rated Won)
314,Upset (Lower Rated Won)
4,Expected (Higher Rated Won)
1,Expected (Higher Rated Won)
108,Upset (Lower Rated Won)
72,Upset (Lower Rated Won)
174,Expected (Higher Rated Won)
53,Expected (Higher Rated Won)
11,Expected (Higher Rated Won)
22,Upset (Lower Rated Won)
22,Upset (Lower Rated Won)
116,Expected (Higher Rated Won)
12,Upset (Lower Rated Won)
13,Expected (Higher Rated Won)
126,Upset (Lower Rated Won)
116,Upset (Lower Rated Won)
278,Expected (Higher Rated Won)
25,Upset (Lower Rated Won)
73,Expected (Higher Rated Won)
33,Upset (Lower Rated Won)
21,Upset (Lower Rated Won)
70,Expected (Higher Rated Won)
30,Expected (Higher Rated Won)
3,Upset (Lower Rated Won)
374,Upset (Lower Rated Won)
130,Expected (Higher Rated Won)
9,Upset (Lower Rated Won)
12,Upset (Lower Rated Won)
133,Expected (Higher Rated Won)
143,Expected (Higher Rated Won)
300,Expected (Higher Rated Won)
278,Expected (Higher Rated Won)
151,Upset (Lower Rated Won)
175,Expected (Higher Rated Won)
409,Expected (Higher Rated Won)
108,Upset (Lower Rated Won)
285,Upset (Lower Rated Won)
216,Expected (Higher Rated Won)
143,Expected (Higher Rated Won)
177,Expected (Higher Rated Won)
386,Upset (Lower Rated Won)
33,Upset (Lower Rated Won)
41,Upset (Lower Rated Won)
445,Upset (Lower Rated Won)
322,Expected (Higher Rated Won)
56,Upset (Lower Rated Won)
683,Upset (Lower Rated Won)
370,Expected (Higher Rated Won)
315,Upset (Lower Rated Won)
14,Expected (Higher Rated Won)
91,Upset (Lower Rated Won)
161,Expected (Higher Rated Won)
210,Expected (Higher Rated Won)
548,Expected (Higher Rated Won)
189,Expected (Higher Rated Won)
373,Expected (Higher Rated Won)
46,Upset (Lower Rated Won)
74,Expected (Higher Rated Won)
31,Upset (Lower Rated Won)
6,Expected (Higher Rated Won)
21,Upset (Lower Rated Won)
72,Expected (Higher Rated Won)
47,Expected (Higher Rated Won)
253,Expected (Higher Rated Won)
244,Expected (Higher Rated Won)
489,Expected (Higher Rated Won)
220,Expected (Higher Rated Won)
352,Expected (Higher Rated Won)
148,Expected (Higher Rated Won)
442,Expected (Higher Rated Won)
132,Expected (Higher Rated Won)
219,Expected (Higher Rated Won)
170,Expected (Higher Rated Won)
213,Expected (Higher Rated Won)
351,Expected (Higher Rated Won)
332,Expected (Higher Rated Won)
227,Expected (Higher Rated Won)
119,Expected (Higher Rated Won)
382,Expected (Higher Rated Won)
55,Upset (Lower Rated Won)
39,Expected (Higher Rated Won)
40,Expected (Higher Rated Won)
19,Upset (Lower Rated Won)
29,Upset (Lower Rated Won)
228,Expected (Higher Rated Won)
8,Upset (Lower Rated Won)
30,Upset (Lower Rated Won)
5,Upset (Lower Rated Won)
71,Expected (Higher Rated Won)
46,Upset (Lower Rated Won)
62,Expected (Higher Rated Won)
26,Upset (Lower Rated Won)
36,Expected (Higher Rated Won)
93,Expected (Higher Rated Won)
304,Expected (Higher Rated Won)
117,Expected (Higher Rated Won)
54,Expected (Higher Rated Won)
93,Expected (Higher Rated Won)
77,Expected (Higher Rated Won)
59,Expected (Higher Rated Won)
21,Upset (Lower Rated Won)
128,Upset (Lower Rated Won)
8,Upset (Lower Rated Won)
271,Upset (Lower Rated Won)
2,Upset (Lower Rated Won)
57,Expected (Higher Rated Won)
124,Upset (Lower Rated Won)
14,Expected (Higher Rated Won)
7,Upset (Lower Rated Won)
131,Upset (Lower Rated Won)
33,Expected (Higher Rated Won)
11,Expected (Higher Rated Won)
34,Upset (Lower Rated Won)
14,Expected (Higher Rated Won)
56,Expected (Higher Rated Won)
4,Upset (Lower Rated Won)
10,Expected (Higher Rated Won)
152,Expected (Higher Rated Won)
534,Expected (Higher Rated Won)
109,Expected (Higher Rated Won)
6,Expected (Higher Rated Won)
49,Expected (Higher Rated Won)
218,Expected (Higher Rated Won)
104,Expected (Higher Rated Won)
92,Expected (Higher Rated Won)
239,Expected (Higher Rated Won)
64,Expected (Higher Rated Won)
21,Expected (Higher Rated Won)
309,Expected (Higher Rated Won)
11,Upset (Lower Rated Won)
11,Upset (Lower Rated Won)
11,Expected (Higher Rated Won)
321,Expected (Higher Rated Won)
1,Expected (Higher Rated Won)
321,Upset (Lower Rated Won)
56,Upset (Lower Rated Won)
72,Expected (Higher Rated Won)
519,Expected (Higher Rated Won)
6,Expected (Higher Rated Won)
294,Upset (Lower Rated Won)
128,Upset (Lower Rated Won)
46,Upset (Lower Rated Won)
20,Expected (Higher Rated Won)
16,Expected (Higher Rated Won)
415,Expected (Higher Rated Won)
71,Upset (Lower Rated Won)
38,Expected (Higher Rated Won)
334,Expected (Higher Rated Won)
180,Upset (Lower Rated Won)
28,Upset (Lower Rated Won)
213,Expected (Higher Rated Won)
166,Expected (Higher Rated Won)
22,Expected (Higher Rated Won)
0,Expected (Higher Rated Won)
42,Upset (Lower Rated Won)
136,Expected (Higher Rated Won)
120,Expected (Higher Rated Won)
153,Upset (Lower Rated Won)
139,Expected (Higher Rated Won)
172,Upset (Lower Rated Won)
355,Expected (Higher Rated Won)
355,Expected (Higher Rated Won)
401,Expected (Higher Rated Won)
364,Expected (Higher Rated Won)
355,Expected (Higher Rated Won)
345,Expected (Higher Rated Won)
335,Expected (Higher Rated Won)
254,Expected (Higher Rated Won)
254,Expected (Higher Rated Won)
24,Expected (Higher Rated Won)
68,Expected (Higher Rated Won)
412,Expected (Higher Rated Won)
405,Expected (Higher Rated Won)
398,Expected (Higher Rated Won)
390,Expected (Higher Rated Won)
390,Expected (Higher Rated Won)
22,Upset (Lower Rated Won)
96,Expected (Higher Rated Won)
3,Expected (Higher Rated Won)
598,Expected (Higher Rated Won)
158,Expected (Higher Rated Won)
122,Upset (Lower Rated Won)
23,Upset (Lower Rated Won)
227,Upset (Lower Rated Won)
360,Expected (Higher Rated Won)
344,Expected (Higher Rated Won)
24,Upset (Lower Rated Won)
91,Expected (Higher Rated Won)
310,Expected (Higher Rated Won)
56,Expected (Higher Rated Won)
444,Expected (Higher Rated Won)
153,Expected (Higher Rated Won)
69,Upset (Lower Rated Won)
149,Upset (Lower Rated Won)
16,Expected (Higher Rated Won)
0,Expected (Higher Rated Won)
19,Upset (Lower Rated Won)
108,Expected (Higher Rated Won)
67,Expected (Higher Rated Won)
25,Expected (Higher Rated Won)
13,Expected (Higher Rated Won)
9,Expected (Higher Rated Won)
1076,Expected (Higher Rated Won)
21,Upset (Lower Rated Won)
127,Upset (Lower Rated Won)
184,Expected (Higher Rated Won)
11,Upset (Lower Rated Won)
10,Upset (Lower Rated Won)
48,Expected (Higher Rated Won)
37,Upset (Lower Rated Won)
14,Upset (Lower Rated Won)
5,Expected (Higher Rated Won)
29,Upset (Lower Rated Won)
473,Upset (Lower Rated Won)
176,Upset (Lower Rated Won)
28,Upset (Lower Rated Won)
