game_id,rating_diff,turns,victory_status
ZXM2sX4y,59,81,resign
UFKSc5hH,-365,45,resign
jhA7bDVC,-2,52,resign
vc2eo2Sh,-2,51,resign
WtFUCKgj,13,20,resign
EQDn1BA7,125,50,mate
AbDhfpnX,52,98,resign
Ger5Zno3,0,106,mate
JHH8PcNq,-2,19,resign
8Ie5Oesp,-19,22,resign
GRAng26s,-53,69,resign
TaaLCuw6,17,34,mate
R2JFua6L,-4,40,mate
LcPvndOa,132,108,resign
oWSctoZp,-163,27,resign
m793jf7F,-21,63,resign
UaulsArt,46,31,resign
EL3LK94E,-8,71,resign
PcXdgcJJ,-210,92,mate
XGG3VNC9,200,47,mate
n1hgevhj,-30,56,resign
q5P7mAB4,10,48,resign
sl4N6t22,50,124,resign
DhoFXYNH,69,49,mate
q6FmC8Id,12,64,resign
2CvZyh4h,10,29,resign
Psin3ost,-5,45,resign
AaSSYIy6,-13,96,resign
0lWtXgXo,31,92,resign
IC0EFtA5,20,40,mate
L8gPU593,-44,123,mate
0PVGpBvD,414,129,mate
2icRDIZI,20,120,mate
5AYA7mBv,2,97,mate
qGThbTuM,-25,60,resign
pLR3kRgy,-17,57,resign
EdKqO9z1,141,38,resign
sAjNrfSm,276,111,resign
BON8sFeZ,111,119,resign
PREaBSqk,-144,33,mate
CmAh08GF,251,32,resign
FpZiajAh,-80,96,resign
4Wozw7Zh,-258,64,resign
GIoSZf5k,148,10,resign
9r2yzwRq,-68,85,resign
e4UoYNOg,-352,40,resign
sn4zdyQb,-158,58,resign
ppPlxT3Q,-67,26,outoftime
D0idNTxu,-125,4,outoftime
yTbYtCF6,-178,118,mate
AEIBxJhK,253,11,mate
ygHSZzNE,146,95,mate
9MESu3hH,-155,37,resign
tBXOrjlO,233,101,mate
J5DYrnEf,61,80,outoftime
o5ZRUXrY,-110,78,resign
fV2cuf3p,-104,42,mate
baOLL2ej,-18,8,outoftime
tHHd8ejz,83,101,outoftime
E9Es660b,-180,65,outoftime
0Hl7FLEs,-2,60,mate
zALflmF8,-108,44,resign
F8euV2Zp,-23,20,resign
VC0euQZC,0,41,resign
F0rtsvLh,0,40,resign
vI6soB0y,-71,27,resign
RHqtUgcA,-499,59,resign
pCdIqYQn,217,19,mate
7DyaFpEQ,-290,50,mate
gDy9stbN,200,34,resign
4C9wlcMh,109,15,mate
J2JnXESd,-93,52,resign
fYXWmMQo,74,65,mate
0izXEQL0,-36,67,resign
C7ZN9Vt6,-775,31,resign
nXAMBzZC,105,130,mate
PDmTWzdY,-32,125,mate
l33LvAGO,-80,76,resign
VVMmBXVj,53,121,resign
J7LsFrHs,141,53,resign
nrOeTNGE,112,116,outoftime
o8It5NwS,-398,47,resign
KYR2S7f1,398,53,resign
lUfS2I5H,-398,76,mate
RQKVDRu3,-45,67,mate
gzD3S9qf,197,17,resign
aqIy0Ek9,0,39,mate
F9LhXEvk,65,94,resign
scqVJjj2,391,37,resign
BoBZJpRS,162,37,mate
5VAOl0rA,-123,34,resign
TMNMnaD7,-205,41,outoftime
ERl5w1Lb,470,30,resign
XLvG0Fxw,-2,51,resign
kI6eU49k,-36,79,mate
wbR4KA2i,21,83,resign
eTcONlGD,228,14,resign
AFrSI2mE,-16,21,resign
Of7utwYA,296,47,resign
MbJQrZqR,136,38,resign
57CfXLeQ,-41,34,resign
6jtIjE2R,-20,39,resign
jsfpSHaf,190,43,resign
CPDDgugd,-242,41,mate
RXnpG2TZ,265,49,resign
FgNBqN3z,-20,38,outoftime
ploTbJ6s,153,70,outoftime
hbxnJvqu,-262,48,resign
eZH6krXF,319,50,resign
qKXrw2ki,-426,57,resign
EHmTVpmX,75,62,mate
XUuJhAEP,131,29,resign
1CEn79ih,170,52,mate
EHODQ73d,56,26,mate
Wt4pO0yV,108,59,resign
IgqWb3wU,-2,56,resign
TAdphcbm,-423,40,resign
63lPam9c,431,31,mate
I400IkFs,-704,60,resign
Q9Bk2G35,-214,45,resign
bubeMcp6,113,17,resign
pxoOFfHH,60,34,resign
Av8udV1F,-1,36,mate
RIrGfA5F,22,62,mate
lFN4Gvv1,-276,34,resign
cJRIpA0K,-110,38,resign
4u0MUqHf,94,107,resign
68pMrUFp,-75,42,resign
hz2R5AX6,-68,35,resign
ZbjPJQvo,-277,122,mate
rbcpm9pr,242,71,mate
3fubUQ1L,-174,42,resign
QYc8zif6,-149,2,outoftime
afXDSWwS,707,11,resign
kzO8xpo0,-21,54,resign
lfKoLKHr,-1,58,resign
DcNnJYPu,84,42,resign
nBIWZ8Fi,110,74,mate
IIlpa2I0,-93,54,mate
Fl7n8wyn,75,85,resign
kATFCmb6,-55,38,resign
8BHaVwSf,-122,41,resign
JHs2yQVf,27,121,mate
WOwzREnN,-4,30,resign
vCxVnALT,-537,64,resign
BAKj62Jt,530,15,mate
IhPROx4l,-522,40,resign
wwF013vq,-583,48,resign
UVCNEXse,577,51,mate
YeWcT5XP,-185,71,resign
mOQE6k1N,-168,60,resign
nIQ2d4S6,28,58,mate
PRsV872Z,-7,60,resign
TQOTfC0X,-16,40,resign
XA0DImut,202,29,outoftime
SBB7hpZn,-240,98,resign
9LBbJAy5,2,71,resign
Z9FnkzxR,-116,34,mate
rt1IFgnN,-292,60,mate
m6bOuo2a,11,47,resign
d79KE45O,-36,23,resign
VzLpYJ1R,61,78,mate
wLCl9YNn,-15,35,mate
RSsb4wYF,-9,53,resign
lm8AKQIn,34,120,mate
uiJ5thnm,245,41,mate
GHlw6n8z,55,42,resign
yLhzi5Dd,128,63,resign
brPQOL4Y,54,23,resign
gH21a6oq,44,32,resign
giix8ieL,131,73,resign
Un8lFrlI,-130,90,resign
xNeUwMhV,-33,41,mate
ckyHRYkd,-131,43,resign
qRI4whmd,147,38,resign
fE1B5wMl,-77,41,mate
pbX2HMso,-30,84,resign
TVcCQzD5,-82,56,resign
KYsVM4yI,-119,30,resign
e4kFuJQ9,515,6,resign
5FPLsNja,40,67,resign
uBwEbVAF,-48,56,resign
7sZ6ADlB,-5,103,resign
1iCdDMNl,158,40,mate
8lPSOnVV,203,52,resign
BHUzGb7V,63,23,resign
W3fUpxff,250,39,mate
eCQSU6WF,-51,52,resign
sOofcpg2,32,41,resign
stoudusq,85,33,resign
Q8AA3Qby,-29,58,resign
R9lE5mr6,-59,31,mate
KKoEd9W4,-17,15,resign
AFBQ040C,-261,32,resign
jRosMYvP,-9,45,resign
47I7Smmy,259,25,resign
mjeeolDf,2,15,resign
bn6tE2Gy,-168,62,resign
SQz0aocr,-19,59,resign
9bpYNzjf,-154,51,resign
faXIXTIb,113,22,resign
BvcCXIJt,180,27,resign
FH8TvLSY,45,34,resign
99ONvKAR,268,79,outoftime
ukTTpK9V,75,73,resign
XwMJo8Hb,94,74,mate
Wxgi9dv0,-99,92,resign
zijw7opz,-78,26,resign
5XspUzEQ,-76,40,mate
mF8Y8wMD,105,77,resign
0iDlMyOe,-213,58,resign
S6w3WP4J,-129,51,mate
dMKJGAdC,183,73,outoftime
XRepUkbo,-132,50,mate
8qrohlbN,58,52,resign
YjfJDGGF,172,11,mate
z3qhi0Bd,0,61,resign
mN4q9WaV,-81,19,resign
o2qYkjN6,-77,51,resign
KCGLwr8V,-115,12,resign
snYK1vb6,-84,27,mate
tCGqQulN,-91,86,mate
d8WlBOrX,39,61,mate
pWKk30rV,125,53,mate
wQrRnpIt,-42,50,mate
qFF2fQKT,-74,16,resign
3hcX07ip,87,110,outoftime
bg6UbBVr,-219,45,mate
qful43xo,129,93,mate
tSsmRu5M,117,105,resign
FdDUEr14,-101,60,resign
KNp9mDXB,-146,58,mate
SdKFE3PV,-108,65,mate
6eguvCWU,72,56,mate
BLTfqEmu,239,64,resign
x0M9UzvX,-227,4,resign
HDH18gtj,36,58,resign
lHNSzBps,-204,34,resign
PyEpiSJp,54,101,resign
yyxv1Rvw,-54,35,resign
15LAUrJ2,54,54,resign
A7XDlKwD,-54,116,resign
ihRvX5OV,140,115,mate
W8zaOGXs,75,54,resign
TpxYFubZ,86,37,resign
N7FMrhyD,-69,81,resign
leveeyFX,36,45,resign
cRu3Kf1o,92,161,mate
gShSMXDR,-323,88,resign
brC35BxF,-98,119,mate
fwGfUhX6,216,60,resign
h0irlyP1,-330,34,mate
eliy5ecl,-37,94,resign
3sNZxnJZ,-215,122,mate
fFfNpkab,-369,44,resign
k8bpLGVX,298,26,resign
inhWg7LE,-171,116,resign
s8b6pWX3,-692,31,resign
FGUuHBIN,376,133,mate
FfPQwkyj,-66,65,resign
jTvyCsWT,423,62,mate
qn5XNlhr,-423,62,resign
eJgE3AVx,423,42,mate
YNQ5pxFn,-423,42,resign
ndZRhK6w,198,31,resign
RkhniADk,-69,46,resign
y9jJdqti,69,20,resign
yC4TNsVZ,737,73,mate
sfAQRL4r,-271,35,mate
73yrL8pJ,271,71,outoftime
TWpQfwRs,-271,46,resign
33CuQ7Wv,-737,52,resign
H8ZbC9Nb,17,52,outoftime
c97bIIYV,188,70,outoftime
nQNTkDIK,767,49,resign
YcFsnSyR,-19,75,resign
3zUeArOl,-156,61,mate
YDr0Gbb8,334,41,resign
bkePgHvV,-334,46,resign
1Rb8zwjl,135,53,mate
zJiScU54,-148,52,mate
Z4SG1Ob7,60,36,resign
8MfLGOXL,13,64,resign
JAAIwQEV,5,65,resign
DDTJ3Yeo,-116,71,resign
hn1NqGaN,-396,50,resign
33xKIuG7,-101,54,mate
tKZv5wGC,42,76,mate
c2WR287x,-21,61,resign
MIapptBf,78,53,resign
J2GvS4LK,-5,24,resign
Sfay2hYj,-492,64,mate
wytBeWQ0,24,51,resign
Z0VzPUPm,-206,71,mate
1pBIszeA,490,49,mate
CAEZnTSC,-490,34,mate
JT1xA30W,427,88,outoftime
LSQ4yNeU,22,11,mate
xSwSmC1e,-99,86,resign
TovD1oTY,36,58,resign
u0FzSAO8,17,50,resign
1YmgTIJI,-13,62,resign
DYpN9YxD,506,39,resign
9ZsNhTh2,498,49,resign
78hLyDK0,312,43,resign
mquRdEhM,-447,84,mate
awUwx4yw,442,41,resign
wXWF2VOU,-700,48,resign
AAiM3La2,-385,48,mate
FrYghAWU,-330,38,resign
2HUEMO77,649,41,mate
ob8ByiQL,-443,28,resign
XDgrsvyY,-472,74,resign
drftECef,259,29,resign
lLnTBNyP,140,45,resign
q1qoMs5p,336,61,mate
FicdeaYj,259,19,resign
DrNPTV0R,-362,48,resign
h8sFveY6,257,41,resign
YTPvqqDg,-970,30,resign
x3qqYZK7,335,55,mate
TTXLxBqr,-48,72,resign
tz5RAeQT,-859,78,resign
M0iO8NeI,-439,34,resign
DuBCgvJa,-351,56,mate
4Sqxp7eu,158,49,resign
zbVWQB0i,151,72,mate
e0t2usED,239,70,resign
jcoH8Yl5,177,83,resign
ynfbOFga,235,57,resign
VG0al8lF,-159,39,resign
QR3IXpzt,-296,56,resign
4SrloqB0,-104,46,resign
aQ1k38XF,760,31,mate
PccY4zs2,-168,66,resign
MXV6B40A,582,52,resign
1mi2HfIm,-297,100,resign
yqlKfOAp,-281,10,resign
PSjD1Xhv,-262,49,resign
eswCrJcC,-241,100,mate
D9vtX3w9,-500,107,resign
Twie5enB,-399,44,mate
eoC6bFlt,387,27,resign
Sex2TQMA,-130,72,resign
5Si2wSRc,12,21,outoftime
iKbLCzcl,15,91,mate
2MbA3y3n,-12,35,resign
P5HuMoRZ,-118,50,mate
QgodfZ9N,98,56,resign
8FYUaMEF,-3,37,resign
OLLL4UW9,12,66,resign
hjAt7pYG,64,40,resign
WZ0QVNtC,-56,32,mate
nt4Pwj5C,-599,26,mate
EfbR5viI,-168,89,mate
JrlAIscq,159,65,resign
Pl9lWO03,-314,37,resign
1PCJShdC,4,48,resign
KsrYTVJW,-1,54,outoftime
ZydVhIrf,-108,43,mate
GUt4BWYv,72,60,resign
KOX0GIOh,-174,122,outoftime
JLq6d7LP,53,49,resign
3fwBIVZP,-11,56,mate
4RggB4Pd,-22,77,mate
Yb0t6EPX,22,60,resign
zHBeN1Ql,116,33,mate
HsolNMZx,-12,83,resign
fDGEuax4,-13,102,mate
yzk9TBrf,-126,29,resign
7EOkF0DP,-116,91,resign
Jdcqh0ZM,-278,34,resign
zoaBo5Hf,25,59,resign
lad73Yza,73,41,resign
IdLtnMSr,33,54,resign
jVg6I7ln,-21,43,resign
FBDzyVF9,-70,34,resign
99WIHFGT,-30,122,resign
IwZxp7dg,-3,51,mate
ZP5ZQVcC,374,62,resign
mcIe47kW,-130,30,resign
izepvFbk,-9,79,outoftime
079kHDqh,12,32,resign
3HcbGoZ7,-133,78,resign
nbM0dEPe,-143,82,resign
hN4to7eV,-300,64,resign
3T6iRhh0,-278,59,resign
p80h54Rh,151,62,resign
7yjm4QKt,-175,104,mate
GLNSsTvw,409,65,mate
AKDSQGBI,-108,23,resign
PklztzJG,285,50,mate
KU3BtTZA,-216,58,mate
ngPkTMFq,-143,64,resign
PG8ZOrx8,-177,56,resign
hh4qc2VN,386,18,resign
F8VACPac,-33,43,resign
WddnNxvy,41,24,resign
IstEfy2X,-445,125,mate
rXQXKATs,-322,104,resign
BR4DwSI4,-56,29,resign
3PMOVHCd,683,48,resign
ZnlHxqo0,370,65,mate
DUjvd9GQ,315,20,resign
hrWVSoCt,-14,38,mate
Y0ubgfvj,-91,26,resign
x3jqgdWW,-161,70,resign
4hOpQkq4,210,35,resign
U7NDaOs3,548,23,resign
BXpDfkWi,-189,76,resign
BqpWJ53F,-373,68,outoftime
ApAyKSwj,-46,4,resign
xacBVmLA,-74,30,resign
JP6ug5fw,-31,59,mate
cOtmY0Wx,6,77,resign
zkP3Fthl,21,76,outoftime
vM7Emdp3,72,34,resign
3iG76tYn,-47,53,resign
8z5O0GXW,253,57,resign
xqeX9j9X,-244,42,resign
lVByKtnM,-489,48,mate
YFAGqr4x,220,71,resign
i2XoU16H,-352,26,resign
sviA3YFR,-148,32,resign
ufqg7t3b,442,63,mate
T9C3CKwR,-132,86,resign
blXTFCHC,219,99,resign
Qc2LiPNG,-170,36,resign
WsLE7r8G,-213,112,resign
tfKCa5g6,351,39,resign
0pV2ZEKN,-332,28,resign
bo6KptgN,227,65,resign
CMeeDg2P,-119,21,resign
TpJErHGl,-382,98,resign
WnMm30N9,55,31,resign
bn42hcxq,-39,68,resign
cMSuepTX,40,42,resign
HFJ7z4tg,19,42,mate
6bL2hd0X,-29,59,resign
UiMj8nXK,-228,80,resign
pM3fIP4b,8,31,resign
bTIIkDZL,-30,107,outoftime
Yekg9T0E,5,18,resign
trc6nw8p,-71,72,mate
GK3m5eMT,-46,45,resign
ObJZSmQe,-62,66,resign
iJubJD4Y,-26,93,resign
oNpjGRlN,-36,90,resign
WB4cuSmD,93,23,resign
rDQajEka,-304,118,outoftime
JDSNvohS,117,23,resign
AusrgQtE,54,91,mate
RjReoOOB,-93,56,mate
5cfVF8SL,77,71,mate
9y0B0iGR,-59,48,mate
TpzoFNxO,21,80,resign
c9WUjuhv,-128,33,resign
wZf7MIFt,8,84,outoftime
xegjALEz,-271,51,resign
zKEJPiXZ,2,47,resign
wmytcciw,-57,74,resign
Rl65IQlX,124,77,resign
0am1YP3X,-14,54,resign
mw9H8a1S,-7,75,outoftime
EqSC4jnk,-131,89,outoftime
0CCos4zy,-33,62,resign
P8PM7tjz,11,49,resign
3Xzd26zM,-34,67,resign
Manr2avh,14,73,resign
HJmmJQON,56,43,resign
4lFC7APk,4,70,resign
3rut0m4E,-10,28,resign
9uLhcP9g,-152,16,resign
Mn8AEg13,534,47,resign
c3O7fGUn,-109,52,mate
7zzPkdqI,6,43,resign
2ERWk5Nz,-49,78,resign
LEmwK75U,218,75,resign
qYIME8DX,104,105,mate
qMp7FQYG,92,103,outoftime
g6PrunIx,-239,35,resign
2jX8ylTs,64,45,mate
23WLlukF,-21,108,resign
DTfofNSS,-309,154,resign
6YAtxCka,-11,21,resign
JLfmEWad,11,48,mate
mskSEbwv,11,31,mate
1hVQBHde,-321,66,mate
MRBPa9AX,1,80,resign
iCq06qa3,-321,62,resign
W9898sKn,56,120,mate
cUi6SZv8,72,38,resign
pmaYJ9Kv,519,61,outoftime
dKenDQ27,-6,28,resign
sfeyoLzl,-294,99,resign
79RGpjMH,128,49,resign
KVgN96ck,46,44,resign
65Um9Tcf,20,55,resign
stmk2OCH,-16,92,resign
niNth6JB,415,27,resign
0rISydr6,71,98,resign
9JFLJi6k,-38,24,mate
inyTCeV2,-334,4,mate
td0tnDDQ,180,16,resign
uMoXrR1H,-28,85,resign
RmLnL0CM,-213,70,mate
djXJIqVW,-166,36,resign
zlQThGVX,22,61,resign
iZxEsXji,0,66,outoftime
0zirgLwT,42,20,resign
DlQedaAr,136,49,resign
yP8CgGMt,-120,42,mate
NLpJ8sIu,153,32,resign
cNG54gY5,-139,70,resign
WHRdaJm2,172,52,resign
6mELPaah,-355,18,resign
eP09Yv7W,-355,4,mate
KfuKdhkr,-401,54,mate
V7a3QIoB,-364,4,mate
mzWzFRLc,355,5,mate
eBQhNVnO,-345,26,mate
pSa9EQDs,-335,4,mate
DRU2XG6w,-254,100,mate
3sgLsYyY,254,113,resign
O0OBA96e,24,125,resign
XryQwipq,68,51,resign
1tXeLMK6,-412,65,resign
AkbbM88h,405,29,resign
ZACSaRzi,-398,26,resign
HpBrr0uW,390,43,resign
XzDEJEAK,-390,33,resign
w5In6nw7,22,54,resign
xoVyq1H5,-96,42,resign
OKJpY1xW,3,61,resign
2WXCama5,-598,38,mate
AhfLQxfz,158,47,resign
xo07RRgm,122,82,resign
aHpSpXBY,-23,47,resign
5YtoU21m,227,34,resign
vU4OAYrU,360,27,mate
NUEMIiIT,-344,32,mate
c2BoVvDL,24,90,mate
MEaajEWP,91,38,resign
QuGLUpj8,310,51,resign
lzzUULmL,56,41,resign
zQa62crG,444,5,resign
MVTxIbDr,-153,44,mate
H4zTJFmx,-69,33,resign
czF9TnjD,-149,41,mate
trLo4I84,16,28,resign
wqOb8n7u,0,62,mate
leDTU8io,19,28,resign
gGcUX2oU,-108,61,resign
